
YEAR,MO,DY,HR,QV2M,RH2M,PRECTOTCORR,PS
2021,12,31,18,13.73,60.38,0.0,97.53
2021,12,31,19,13.79,62.38,0.01,97.62
2021,12,31,20,13.92,65.88,0.01,97.69
2021,12,31,21,13.92,69.75,0.01,97.75
2021,12,31,22,13.79,70.94,0.0,97.76
2021,12,31,23,13.67,72.19,0.0,97.75
2022,1,1,0,13.55,73.0,0.0,97.72
2022,1,1,1,13.49,75.25,0.0,97.69
2022,1,1,2,13.37,78.69,0.0,97.67
2022,1,1,3,13.24,80.38,0.01,97.68
2022,1,1,4,13.0,81.38,0.0,97.71
2022,1,1,5,12.82,82.25,0.01,97.76
2022,1,1,6,13.06,82.31,0.0,97.81
2022,1,1,7,13.43,72.06,0.0,97.88
2022,1,1,8,13.79,64.12,0.0,97.92
2022,1,1,9,14.16,59.38,0.0,97.92
2022,1,1,10,14.34,56.19,0.0,97.86
2022,1,1,11,14.28,52.94,0.0,97.75
2022,1,1,12,14.1,50.0,0.0,97.62
2022,1,1,13,13.98,48.44,0.0,97.5
2022,1,1,14,14.28,49.5,0.0,97.41
2022,1,1,15,14.34,50.69,0.0,97.37
2022,1,1,16,14.83,54.88,0.0,97.39
2022,1,1,17,15.01,62.06,0.0,97.43
2022,1,1,18,14.83,65.69,0.0,97.51
2022,1,1,19,15.01,69.38,0.0,97.62
2022,1,1,20,15.14,73.81,0.01,97.7
2022,1,1,21,15.08,76.5,0.03,97.74
2022,1,1,22,14.95,78.38,0.08,97.73
2022,1,1,23,14.71,79.25,0.19,97.72
2022,1,2,0,14.47,80.56,0.14,97.7
2022,1,2,1,14.22,82.44,0.21,97.65
2022,1,2,2,13.98,83.44,0.18,97.64
2022,1,2,3,13.73,83.88,0.14,97.66
2022,1,2,4,13.55,83.88,0.07,97.7
2022,1,2,5,13.43,84.19,0.02,97.74
2022,1,2,6,13.73,84.12,0.01,97.8
2022,1,2,7,14.22,74.56,0.0,97.88
2022,1,2,8,14.34,65.5,0.0,97.94
2022,1,2,9,14.4,59.81,0.0,97.92
2022,1,2,10,14.47,56.56,0.0,97.87
